sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3
35 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0.08 wind_prop 0
36 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0.08 wind_prop 0
37 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_0.csv birds_prop 0.09 wind_prop 0
38 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_2.csv birds_prop 0.09 wind_prop 0
39 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0.09 wind_prop 0
40 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0.09 wind_prop 0
41 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_0.csv birds_prop 0.1 wind_prop 0
42 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_2.csv birds_prop 0.1 wind_prop 0
43 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_3.csv birds_prop 0.1 wind_prop 0
44 1 study_rep_30.csv 50 8 0 0 0 0 0 1 0 0 0 1 scn_cali_03_mort_0.csv scenario_file scn_cali_03_mort_4.csv birds_prop 0.1 wind_prop 0
