sim_id is_study_rep study_rep sim_rep run_time is_study is_fire_output is_dynamics is_metapop is_metapop_full is_metapop_dynamics is_metapop_pops is_recol_rescue is_plants_pop is_dispersal scenario_file param1 val1 param2 val2 param3 val3 param4 val4 param5 val5
34 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 7 fire_size_x 1060.66 fire_size_y 1767.767
35 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 8 fire_size_x 1060.66 fire_size_y 1767.767
36 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 9 fire_size_x 1060.66 fire_size_y 1767.767
37 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 10 fire_size_x 1060.66 fire_size_y 1767.767
38 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 11 fire_size_x 1060.66 fire_size_y 1767.767
39 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 12 fire_size_x 1060.66 fire_size_y 1767.767
40 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 13 fire_size_x 1060.66 fire_size_y 1767.767
41 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 14 fire_size_x 1060.66 fire_size_y 1767.767
42 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 15 fire_size_x 1060.66 fire_size_y 1767.767
43 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 16 fire_size_x 1060.66 fire_size_y 1767.767
44 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 17 fire_size_x 1060.66 fire_size_y 1767.767
45 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 18 fire_size_x 1060.66 fire_size_y 1767.767
46 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 19 fire_size_x 1060.66 fire_size_y 1767.767
47 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 20 fire_size_x 1060.66 fire_size_y 1767.767
48 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 21 fire_size_x 1060.66 fire_size_y 1767.767
49 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 22 fire_size_x 1060.66 fire_size_y 1767.767
50 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 23 fire_size_x 1060.66 fire_size_y 1767.767
51 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 24 fire_size_x 1060.66 fire_size_y 1767.767
52 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 25 fire_size_x 1060.66 fire_size_y 1767.767
53 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 26 fire_size_x 1060.66 fire_size_y 1767.767
54 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 27 fire_size_x 1060.66 fire_size_y 1767.767
55 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 28 fire_size_x 1060.66 fire_size_y 1767.767
56 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 29 fire_size_x 1060.66 fire_size_y 1767.767
57 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 30 fire_size_x 1060.66 fire_size_y 1767.767
58 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 31 fire_size_x 1060.66 fire_size_y 1767.767
59 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 32 fire_size_x 1060.66 fire_size_y 1767.767
60 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 33 fire_size_x 1060.66 fire_size_y 1767.767
61 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 34 fire_size_x 1060.66 fire_size_y 1767.767
62 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 35 fire_size_x 1060.66 fire_size_y 1767.767
63 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 5 fire_size_x 1590.99 fire_size_y 2651.6505
64 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 6 fire_size_x 1590.99 fire_size_y 2651.6505
65 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 7 fire_size_x 1590.99 fire_size_y 2651.6505
66 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 8 fire_size_x 1590.99 fire_size_y 2651.6505
67 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 9 fire_size_x 1590.99 fire_size_y 2651.6505
68 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 10 fire_size_x 1590.99 fire_size_y 2651.6505
69 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 11 fire_size_x 1590.99 fire_size_y 2651.6505
70 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 12 fire_size_x 1590.99 fire_size_y 2651.6505
71 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 13 fire_size_x 1590.99 fire_size_y 2651.6505
72 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 14 fire_size_x 1590.99 fire_size_y 2651.6505
73 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 15 fire_size_x 1590.99 fire_size_y 2651.6505
74 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 16 fire_size_x 1590.99 fire_size_y 2651.6505
75 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 17 fire_size_x 1590.99 fire_size_y 2651.6505
76 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 18 fire_size_x 1590.99 fire_size_y 2651.6505
77 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 19 fire_size_x 1590.99 fire_size_y 2651.6505
78 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 20 fire_size_x 1590.99 fire_size_y 2651.6505
79 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 21 fire_size_x 1590.99 fire_size_y 2651.6505
80 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 22 fire_size_x 1590.99 fire_size_y 2651.6505
81 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 23 fire_size_x 1590.99 fire_size_y 2651.6505
82 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 24 fire_size_x 1590.99 fire_size_y 2651.6505
83 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 25 fire_size_x 1590.99 fire_size_y 2651.6505
84 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 26 fire_size_x 1590.99 fire_size_y 2651.6505
85 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 27 fire_size_x 1590.99 fire_size_y 2651.6505
86 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 28 fire_size_x 1590.99 fire_size_y 2651.6505
87 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 29 fire_size_x 1590.99 fire_size_y 2651.6505
88 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 30 fire_size_x 1590.99 fire_size_y 2651.6505
89 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 31 fire_size_x 1590.99 fire_size_y 2651.6505
90 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 32 fire_size_x 1590.99 fire_size_y 2651.6505
91 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 33 fire_size_x 1590.99 fire_size_y 2651.6505
92 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 34 fire_size_x 1590.99 fire_size_y 2651.6505
93 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 35 fire_size_x 1590.99 fire_size_y 2651.6505
94 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 5 fire_size_x 2121.32 fire_size_y 3535.534
95 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 6 fire_size_x 2121.32 fire_size_y 3535.534
96 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 7 fire_size_x 2121.32 fire_size_y 3535.534
97 1 study_rep_30.csv 30 500 0 0 0 1 0 0 0 0 0 0 scn_current.csv pollination 90 follicles 9.97 fire_interval_mean 8 fire_size_x 2121.32 fire_size_y 3535.534
