code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 4 640 low
2 14 30 201 640 low
3 47 30 651 640 low
4 49 30 723 640 low
5 4 30 27 640 low
6 54 30 230 640 low
7 8 30 119 640 low
8 10 30 2 640 low
9 22 30 49 640 low
10 5 30 52 640 low
11 7 30 69 640 low
12 5 30 57 640 low
13 3 30 11 640 low
14 14 30 135 640 low
15 16 30 73 640 low
16 16 30 155 640 low
17 8 30 51 640 low
18 18 30 202 640 low
