code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 8 640 low
2 14 30 394 640 low
3 47 30 1276 640 low
4 49 30 1416 640 low
5 4 30 53 640 low
6 54 30 451 640 low
7 8 30 233 640 low
8 10 30 4 640 low
9 22 30 96 640 low
10 5 30 103 640 low
11 7 30 136 640 low
12 5 30 112 640 low
13 3 30 22 640 low
14 14 30 263 640 low
15 16 30 143 640 low
16 16 30 304 640 low
17 8 30 101 640 low
18 18 30 396 640 low
