code size_ha age init_individuals ini_seedbank habitat_quality
1 21 30 1 640 low
2 14 30 300 640 low
3 47 30 250 640 low
4 49 30 15 640 low
5 4 30 15 640 low
6 54 30 500 640 low
7 8 30 210 640 low
8 10 30 20 640 low
9 22 30 500 640 low
10 5 30 150 640 low
11 7 30 100 640 low
12 5 30 70 640 low
13 3 30 20 640 low
14 14 30 100 640 low
15 16 30 100 640 low
16 16 30 100 640 low
17 8 30 100 640 low
18 18 30 100 640 low
